品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
8,1340,"検査カウント",0,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6001,"Ｂ－Ｖ",40,,,,44,0,44,,,,44,,,,,,,,,,,0,0,0,
8,6020,"超音波検査（断層撮",350,,,,155,0,155,,,,155,,,,,,,,,,,0,0,0,
8,6105,"末梢血液一般検査",21,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6137,"ＴＰ",11,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6150,"アルブミン",11,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6152,"ＢＵＮ",11,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6154,"クレアチニン",11,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6155,"尿酸",11,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6156,"グルコース",11,,,,24,0,24,,,,24,,,,,,,,,,,0,0,0,
8,6159,"ＡＬＰ",11,,,,28,0,28,,,,28,,,,,,,,,,,0,0,0,
8,6160,"Ｎａ，Ｃ・",11,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6161,"Ｂ－カリウム",11,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6162,"Ｃａ",11,,,,29,0,29,,,,29,,,,,,,,,,,0,0,0,
8,6163,"Ｂ－Ｐ及びＨＰＯ４",17,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
8,6168,"アミラーゼ",11,,,,24,0,24,,,,24,,,,,,,,,,,0,0,0,
8,6170,"γ－ＧＴＰ",11,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6172,"ＣＰＫ",11,,,,39,0,39,,,,39,,,,,,,,,,,0,0,0,
8,6174,"Ｂ－ＬＤＨ",11,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6176,"ＴＧ",11,,,,24,0,24,,,,24,,,,,,,,,,,0,0,0,
8,6181,"ＧＯＴ",17,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6182,"ＧＰＴ",17,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6183,"総コレステ",17,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,6195,"Ｂ－ＫＬ－６",108,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
8,6196,"ＨＤＬ－コレステ",17,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
8,6251,"ＨＢｓ抗原精密測定",88,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
8,6252,"ＨＢｓ抗体価精密測",88,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
8,6257,"ＨＢｃ抗体価精密測",130,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
8,6259,"ＨＣＶ抗体価精密測",102,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
8,6265,"Ｂ－ＣＥＡ精密測定",99,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
8,6270,"Ｂ－ＣＡ１９－９精",121,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
8,6281,"Ｂ－ＴＲＡＣＰ－５ｂ",156,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
8,6296,"Ｂ－血清補体価ＣＨ",38,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
8,6314,"（１→３）－β－Ｄ－グルカン",195,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
8,6317,"ＲＦ定量",30,,,,19,0,19,,,,19,,,,,,,,,,,0,0,0,
8,6334,"抗シトルリン化ペプチド抗体定量",193,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
